concept_key,preferred_name,semantic_definition,entity_level,value_type,cardinality,structured_shape_ref,source_of_truth_kind,read_contract,write_contract,applicability_kind,owner_candidate,representation_candidate,localization_kind,vocabulary_kind,concept_status,evidence_platforms,evidence_coverage_count,alias_concept_keys,broader_concept_key,conflicts_with_concept_keys,decision_reference,confidence,review_status,review_note
shopify:alias:market_inclusion,"Catalog.publication/Product publication","Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,ConnectorTransport,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:market_price,PriceList.prices,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:merchant_type,Product.productType,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,3,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:option_name_1,Product.options[position=1].name,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,ConnectorTransport,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:option_value_1,ProductVariant.selectedOptions[position=1],"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,ConnectorTransport,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:origin_country,InventoryItem.countryCodeOfOrigin,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:price_list_parent_adjustment,PriceList.parent,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,Pricing,alias_with_explicit_same_semantic,not_applicable,provider_defined,representation,shopify,3,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:product_collections,ProductSetInput.collections,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_destructive_or_replacement_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:product_description,Product.descriptionHtml,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_derived_projection,not_applicable,provider_defined,representation,shopify,3,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:product_files_media,ProductSetInput.files,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,ProviderCapability,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:product_freshness,PRODUCTS_UPDATE,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,Connector,alias_with_freshness_hint,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:product_metafield,"Product.metafields[namespace,key]","Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,ConnectorTransport,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:product_metafields,ProductSetInput.metafields,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_destructive_or_replacement_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:product_set_identity,ProductSetIdentifiers.id,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,3,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:product_status,Product.status,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,3,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:product_title,Product.title,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_explicit_same_semantic,not_applicable,provider_defined,representation,shopify,4,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:product_variants,ProductSetInput.variants,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_destructive_or_replacement_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:publication,Publishable/resourcePublications,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,ConnectorTransport,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:quantity_price_break,QuantityPriceBreak.minimumQuantity+price,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,Pricing,alias_with_explicit_same_semantic,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:quantity_rule,QuantityRule.minimum/maximum/increment,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,Pricing,alias_with_explicit_same_semantic,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:requires_shipping,InventoryItem.requiresShipping,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,3,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:seo_description,Product.seo.description,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,ConnectorTransport,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:seo_title,Product.seo.title,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,ConnectorTransport,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:tags,Product.tags,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,3,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:taxable,ProductVariant.taxable,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,3,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:taxonomy_category,Product.category.id,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,ConnectorTransport,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:unit_cost,InventoryItem.unitCost,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_explicit_same_semantic,not_applicable,provider_defined,representation,shopify,3,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:variant_barcode,ProductVariant.barcode,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,3,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:variant_compare_at,ProductVariant.compareAtPrice,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,3,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:variant_image,ProductVariant.media,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:variant_price,ProductVariant.price,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,3,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:variant_publication,ProductVariant.resourcePublications,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:variant_sku,ProductVariant.inventoryItem.sku,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,ConnectorTransport,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,3,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:vendor,Product.vendor,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,3,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:freshness:bulk_operations_finish,BULK_OPERATIONS_FINISH,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ConnectorEvent,event,provider_defined,not_applicable,transport,event_hint_requires_authoritative_reread,not_business_state_write,not_applicable,Connector,freshness_event_hint,not_applicable,provider_defined,transport,shopify,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:freshness:collections_create,COLLECTIONS_CREATE,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ConnectorEvent,event,provider_defined,not_applicable,transport,event_hint_requires_authoritative_reread,not_business_state_write,not_applicable,Connector,freshness_event_hint,not_applicable,provider_defined,transport,shopify,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:freshness:collections_delete,COLLECTIONS_DELETE,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ConnectorEvent,event,provider_defined,not_applicable,transport,event_hint_requires_authoritative_reread,not_business_state_write,not_applicable,Connector,freshness_event_hint,not_applicable,provider_defined,transport,shopify,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:freshness:collections_update,COLLECTIONS_UPDATE,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ConnectorEvent,event,provider_defined,not_applicable,transport,event_hint_requires_authoritative_reread,not_business_state_write,not_applicable,Connector,freshness_event_hint,not_applicable,provider_defined,transport,shopify,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:freshness:inventory_items_create,INVENTORY_ITEMS_CREATE,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ConnectorEvent,event,provider_defined,not_applicable,transport,event_hint_requires_authoritative_reread,not_business_state_write,not_applicable,Connector,freshness_event_hint,not_applicable,provider_defined,transport,shopify,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:freshness:inventory_items_delete,INVENTORY_ITEMS_DELETE,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ConnectorEvent,event,provider_defined,not_applicable,transport,event_hint_requires_authoritative_reread,not_business_state_write,not_applicable,Connector,freshness_event_hint,not_applicable,provider_defined,transport,shopify,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:freshness:inventory_items_update,INVENTORY_ITEMS_UPDATE,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ConnectorEvent,event,provider_defined,not_applicable,transport,event_hint_requires_authoritative_reread,not_business_state_write,not_applicable,Connector,freshness_event_hint,not_applicable,provider_defined,transport,shopify,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:freshness:inventory_levels_connect,INVENTORY_LEVELS_CONNECT,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ConnectorEvent,event,provider_defined,not_applicable,transport,event_hint_requires_authoritative_reread,not_business_state_write,not_applicable,Connector,freshness_event_hint,not_applicable,provider_defined,transport,shopify,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:freshness:inventory_levels_disconnect,INVENTORY_LEVELS_DISCONNECT,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ConnectorEvent,event,provider_defined,not_applicable,transport,event_hint_requires_authoritative_reread,not_business_state_write,not_applicable,Connector,freshness_event_hint,not_applicable,provider_defined,transport,shopify,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:freshness:inventory_levels_update,INVENTORY_LEVELS_UPDATE,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ConnectorEvent,event,provider_defined,not_applicable,transport,event_hint_requires_authoritative_reread,not_business_state_write,not_applicable,Connector,freshness_event_hint,not_applicable,provider_defined,transport,shopify,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:freshness:locales_create,LOCALES_CREATE,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ConnectorEvent,event,provider_defined,not_applicable,transport,event_hint_requires_authoritative_reread,not_business_state_write,not_applicable,Connector,freshness_event_hint,not_applicable,provider_defined,transport,shopify,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:freshness:locales_destroy,LOCALES_DESTROY,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ConnectorEvent,event,provider_defined,not_applicable,transport,event_hint_requires_authoritative_reread,not_business_state_write,not_applicable,Connector,freshness_event_hint,not_applicable,provider_defined,transport,shopify,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:freshness:locales_update,LOCALES_UPDATE,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ConnectorEvent,event,provider_defined,not_applicable,transport,event_hint_requires_authoritative_reread,not_business_state_write,not_applicable,Connector,freshness_event_hint,not_applicable,provider_defined,transport,shopify,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:freshness:markets_create,MARKETS_CREATE,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ConnectorEvent,event,provider_defined,not_applicable,transport,event_hint_requires_authoritative_reread,not_business_state_write,not_applicable,Connector,freshness_event_hint,not_applicable,provider_defined,transport,shopify,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:freshness:markets_delete,MARKETS_DELETE,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ConnectorEvent,event,provider_defined,not_applicable,transport,event_hint_requires_authoritative_reread,not_business_state_write,not_applicable,Connector,freshness_event_hint,not_applicable,provider_defined,transport,shopify,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:freshness:markets_update,MARKETS_UPDATE,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ConnectorEvent,event,provider_defined,not_applicable,transport,event_hint_requires_authoritative_reread,not_business_state_write,not_applicable,Connector,freshness_event_hint,not_applicable,provider_defined,transport,shopify,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:freshness:metafield_definitions_create,METAFIELD_DEFINITIONS_CREATE,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ConnectorEvent,event,provider_defined,not_applicable,transport,event_hint_requires_authoritative_reread,not_business_state_write,not_applicable,Connector,freshness_event_hint,not_applicable,provider_defined,transport,shopify,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:freshness:metafield_definitions_delete,METAFIELD_DEFINITIONS_DELETE,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ConnectorEvent,event,provider_defined,not_applicable,transport,event_hint_requires_authoritative_reread,not_business_state_write,not_applicable,Connector,freshness_event_hint,not_applicable,provider_defined,transport,shopify,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:freshness:metafield_definitions_update,METAFIELD_DEFINITIONS_UPDATE,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ConnectorEvent,event,provider_defined,not_applicable,transport,event_hint_requires_authoritative_reread,not_business_state_write,not_applicable,Connector,freshness_event_hint,not_applicable,provider_defined,transport,shopify,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
