concept_key,preferred_name,semantic_definition,entity_level,value_type,cardinality,structured_shape_ref,source_of_truth_kind,read_contract,write_contract,applicability_kind,owner_candidate,representation_candidate,localization_kind,vocabulary_kind,concept_status,evidence_platforms,evidence_coverage_count,alias_concept_keys,broader_concept_key,conflicts_with_concept_keys,decision_reference,confidence,review_status,review_note
bigcommerce:inventory:stores_store_hash_v3_inventory_locations_location_id_items,"/stores/{store hash}/v3/inventory/locations/{location id}/items","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",Inventory,capability,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Inventory,capability_endpoint,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:inventory:stores_store_hash_v3_inventory_locations_location_id_metafields,"/stores/{store hash}/v3/inventory/locations/{location id}/metafields","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",Inventory,capability,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Inventory,capability_endpoint,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:inventory:stores_store_hash_v3_inventory_locations_location_id_metafields_metafield_id,"/stores/{store hash}/v3/inventory/locations/{location id}/metafields/{metafield id}","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",Inventory,capability,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Inventory,capability_endpoint,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:inventory:stores_store_hash_v3_inventory_locations_metafields,"/stores/{store hash}/v3/inventory/locations/metafields","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",Inventory,capability,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Inventory,capability_endpoint,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:inventory_level,"inventory level","Current inventory level of the product. You must track inventory by _product_ for this to take effect (see the `inventory_tracking` field). The Catalog API returns the inventory for only the default location. The inventory for a product cannot exceed 2,147,483,647 in the catalog. If you exceed the limit, the store sets the inventory level to the limit. The Catalog API handles limits in a different way than the Inventory API. For more information, see [Limit handling](/developer/docs/admin/catalog-and-inventory/inventory-adjustments#limit-handling-in-inventory-versus-catalog-api).",ProductAndProductVariant,integer,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Availability,domain_value,not_localizable,open_or_typed,domain,bigcommerce,2,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Shared provider concept with distinct entity binding and explicit per-row contracts."
bigcommerce:inventory_warning_level,"inventory warning level","Inventory warning level for the product. When the productʼs inventory level drops below the warning level, the store owner will be informed. Simple inventory tracking must be enabled (see the `inventory_tracking` field) for this to take any effect.",ProductAndProductVariant,integer,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Availability,domain_value,not_localizable,open_or_typed,domain,bigcommerce,2,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Shared provider concept with distinct entity binding and explicit per-row contracts."
bigcommerce:is_free_shipping,"is free shipping","Flag used to indicate whether the product has free shipping. If `true`, the shipping cost for the product will be zero.",ProductAndProductVariant,boolean,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,2,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Shared provider concept with distinct entity binding and explicit per-row contracts."
bigcommerce:mpn,mpn,"Manufacturer Part Number",ProductAndProductVariant,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,2,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Shared provider concept with distinct entity binding and explicit per-row contracts."
bigcommerce:price,price,"The price of the product. The price should include or exclude tax, based on the store settings.",ProductAndProductVariant,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Pricing,domain_value,not_localizable,open_or_typed,domain,bigcommerce,2,not_applicable,not_applicable,bigcommerce:product:map_price|bigcommerce:retail_price|bigcommerce:sale_price,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Shared provider concept with distinct entity binding and explicit per-row contracts."
bigcommerce:price_list:stores_store_hash_v3_pricelists,"/stores/{store hash}/v3/pricelists","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",PriceList,capability,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Pricing,capability_endpoint,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:price_list:stores_store_hash_v3_pricelists_assignments,"/stores/{store hash}/v3/pricelists/assignments","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",PriceList,capability,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Pricing,capability_endpoint,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:price_list:stores_store_hash_v3_pricelists_price_list_id,"/stores/{store hash}/v3/pricelists/{price list id}","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",PriceList,capability,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Pricing,capability_endpoint,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:price_list:stores_store_hash_v3_pricelists_price_list_id_assignments,"/stores/{store hash}/v3/pricelists/{price list id}/assignments","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",PriceList,capability,optional_one,not_applicable,merchant_or_domain,unsupported,writable,provider_context,Pricing,capability_endpoint,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:price_list:stores_store_hash_v3_pricelists_price_list_id_records,"/stores/{store hash}/v3/pricelists/{price list id}/records","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",PriceList,capability,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Pricing,capability_endpoint,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:price_list:stores_store_hash_v3_pricelists_price_list_id_records_variant_id,"/stores/{store hash}/v3/pricelists/{price list id}/records/{variant id}","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",PriceList,capability,optional_one,not_applicable,merchant_or_domain,readable,unsupported,provider_context,Pricing,capability_endpoint,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:price_list:stores_store_hash_v3_pricelists_price_list_id_records_variant_id_currency_code,"/stores/{store hash}/v3/pricelists/{price list id}/records/{variant id}/{currency code}","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",PriceList,capability,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Pricing,capability_endpoint,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:price_list:stores_store_hash_v3_pricelists_records,"/stores/{store hash}/v3/pricelists/records","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",PriceList,capability,optional_one,not_applicable,merchant_or_domain,unsupported,writable,provider_context,Pricing,capability_endpoint,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:availability,availability,"Availability of the product. (Corresponds to the productʼs [Purchasability](https://support.bigcommerce.com/s/article/Adding-Products-v3?language=en_US#sections) section in the control panel.) Supported values: `available` - the product is available for purchase; `disabled` - the product is listed on the storefront, but cannot be purchased; `preorder` - the product is listed for pre-orders.",Product,object_or_controlled,optional_one,ref:#/components/schemas/ProductBasePostAvailability,merchant_or_domain,readable,writable,provider_context,Availability,domain_value,not_localizable,provider_controlled,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:availability_description,"availability description","Availability text displayed on the checkout page, under the product title. Tells the customer how long it will normally take to ship this product, such as: 'Usually ships in 24 hours.'",Product,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Availability,domain_value,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:base_variant_id,"base variant id","The unique identifier of the base variant associated with a simple product. This value is `null` for complex products.",Product,integer,optional_one,not_applicable,provider_owned,readable,specialized_or_read_only,provider_context,Connector,external_record_identity,not_localizable,open_or_typed,governance,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:brand_id,"brand id","You can add a product to an existing brand during a product /PUT or /POST. Use either the `brand_id` or the `brand_name` field. The response body can include `brand_id`.",Product,integer,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,open_or_typed,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:brand_name,"brand name","You can create the brand during a product PUT or POST request. If the brand already exists, the product /PUT or /POST request adds the product to the brand. If not, the product /PUT or /POST request creates the brand and then adds the product to the brand. Brand name is not case-sensitive; ""Common Good"" and ""Common good"" are the same. Use either the `brand_id` or the `brand_name` field. The response body does not include `brand_name`.",Product,string,optional_one,not_applicable,merchant_or_domain,not_proven,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:bulk_pricing_rules,"bulk pricing rules","BigCommerce product bulk_pricing_rules capability.",Product,list,many,array[#/components/schemas/ProductBasePostBulkPricingRulesItems],merchant_or_domain,readable,writable,provider_context,Pricing,domain_value,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:calculated_price,"calculated price","The calculated_price is derived from the default price and sale price of the product. It is equal to the sale price if set or the default price if there is not a sale price present. Depending on your store settings and customer group, or channel-specific pricing, this value may or may not be equal to the price seen on the storefront.",Product,string,optional_one,not_applicable,provider_owned,readable,specialized_or_read_only,provider_context,Pricing,read_projection,not_localizable,open_or_typed,projection,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:categories,categories,"An array of IDs for the categories to which this product belongs. You will overwrite all product categories when updating a product and supplying an array of categories. The limit is 1,000 ID values. When you enable the catalog V2 product experience in the control panel, you must include the categories array in the request body.",Product,list,many,array[number],merchant_or_domain,readable,writable,provider_context,ProductComposition,structured_capability,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:condition,condition,"The product condition. Will be shown on the product page if the `is_condition_shown` fieldʼs value is `true`. Possible values: `New`, `Used`, `Refurbished`.",Product,object_or_controlled,optional_one,ref:#/components/schemas/ProductBasePostCondition,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,provider_controlled,reusable_candidate,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:custom_fields,"custom fields","200 maximum custom fields per product. 255 maximum characters per custom field.",Product,list,many,array[#/components/schemas/productCustomField_Put],merchant_or_domain,readable,writable,provider_context,ProductComposition,structured_capability,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:custom_url,"custom url","BigCommerce product custom_url capability.",Product,object_or_controlled,optional_one,ref:#/components/schemas/customUrl_Full,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,provider_controlled,reusable_candidate,bigcommerce,1,not_applicable,not_applicable,bigcommerce:product:open_graph_title,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:date_created,"date created","The date on which the product was created.",Product,string,optional_one,not_applicable,provider_owned,readable,specialized_or_read_only,provider_context,Connector,read_or_platform_projection,not_localizable,open_or_typed,projection,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:date_last_imported,"date last imported","the date when the Product had been imported",Product,string,optional_one,not_applicable,provider_owned,readable,writable,provider_context,Connector,read_or_platform_projection,not_localizable,open_or_typed,projection,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:date_modified,"date modified","The date on which the product was last modified. This value changes when the product record itself changes, for example when you update a product using the Catalog API or edit the product in the control panel. Changes to fields such as the product's name, description, pricing, categories, custom fields, images, options, modifiers, and variants update this value. Inventory is a separate entity from the product, so a stock change does not always update `date_modified`. Inventory updates that the [Inventory API](/developer/docs/admin/catalog-and-inventory/inventory-adjustments) processes, including stock edits made from the control panel **Products** list, leave `date_modified` unchanged. Inventory updates that the Catalog API processes, such as a `PUT` request that sets `inventory_level`, update it. To track when a product or its stock changes, use the `store/product/updated` and `store/product/inventory/updated` [webhooks](/developer/docs/integrations/webhooks/event-reference/events#products) rather than polling `date_modified`.",Product,string,optional_one,not_applicable,provider_owned,readable,specialized_or_read_only,provider_context,Connector,read_or_platform_projection,not_localizable,open_or_typed,projection,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:description,description,"The product description, which can include HTML formatting.",Product,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:gift_wrapping_options_list,"gift wrapping options list","A list of gift-wrapping option IDs. Always included in the response body; not applicable for the `include_fields` and `exclude_fields` query parameters.",Product,list,many,array[integer],merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,open_or_typed,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:gift_wrapping_options_type,"gift wrapping options type","Type of gift-wrapping options. Values: `any` - allow any gift-wrapping options in the store; `none` - disallow gift-wrapping on the product; `list` – provide a list of IDs in the `gift_wrapping_options_list` field. Always included in the response body; not applicable for the `include_fields` and `exclude_fields` query parameters.",Product,object_or_controlled,optional_one,ref:#/components/schemas/ProductBasePostGiftWrappingOptionsType,merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,provider_controlled,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:id,id,"ID of the product. Read-Only.",Product,integer,optional_one,not_applicable,provider_owned,readable,specialized_or_read_only,provider_context,Connector,external_record_identity,not_localizable,open_or_typed,governance,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:images,images,"BigCommerce product images capability.",Product,list,many,array[#/components/schemas/productImage_Full],merchant_or_domain,readable,writable,provider_context,Media,domain_value,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:inventory_tracking,"inventory tracking","The type of inventory tracking for the product. Values are: `none` - inventory levels will not be tracked; `product` - inventory levels will be tracked using the `inventory_level` and `inventory_warning_level` fields; `variant` - inventory levels will be tracked based on variants, which maintain their own warning levels and inventory levels.",Product,object_or_controlled,optional_one,ref:#/components/schemas/ProductBasePostInventoryTracking,merchant_or_domain,readable,writable,provider_context,Availability,domain_value,not_localizable,provider_controlled,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:is_condition_shown,"is condition shown","Flag used to determine whether the product condition is shown to the customer on the product page.",Product,boolean,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,open_or_typed,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:is_featured,"is featured","Flag to determine whether the product should be included in the `featured products` panel when viewing the store.",Product,boolean,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,open_or_typed,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:is_preorder_only,"is preorder only","If set to true then on the preorder release date the preorder status will automatically be removed. If set to false, then on the release date the preorder status **will not** be removed. It will need to be changed manually either in the control panel or using the API. Using the API set `availability` to `available`.",Product,boolean,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:is_price_hidden,"is price hidden","False by default, indicating that this productʼs price should be shown on the product page. If set to `true`, the price is hidden. (NOTE: To successfully set `is_price_hidden` to `true`, the `availability` value must be `disabled`.)",Product,boolean,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,open_or_typed,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:is_visible,"is visible","Flag to determine whether the product should be displayed to customers browsing the store. If `true`, the product will be displayed. If `false`, the product will be hidden from view.",Product,boolean,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,open_or_typed,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:layout_file,"layout file","The layout template file used to render this product. This field is writable only for stores with a Blueprint theme applied, and its value must be a template file from the store's Blueprint theme. For stores with a Stencil theme applied, custom templates are managed through [Custom Template Associations](/developer/api-reference/rest/admin/content/custom-template-associations).",Product,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,open_or_typed,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:map_price,"map price","Minimum Advertised Price",Product,decimal,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Pricing,domain_value,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,bigcommerce:retail_price|bigcommerce:price|bigcommerce:sale_price,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:meta_description,"meta description","Custom meta description for the product page. If not defined, the storeʼs default meta description will be used.",Product,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:meta_keywords,"meta keywords","Custom meta keywords for the product page. If not defined, the storeʼs default keywords will be used.",Product,list,many,array[string],merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
