cluster,inventory_count,shopify_fields_and_capabilities_sample,primary_owner_candidate,mapping_shape_candidate,platform_direction,review_status
inventory_item,9,Product.tracksInventory; ProductVariant.inventoryItem; ProductVariant.inventoryPolicy; InventoryItem.duplicateSkuCount; InventoryItem.inventoryHistoryUrl; InventoryItem.tracked; InventoryItem.trackedEditable; ProductCSV.Inventory tracker; ProductCSV.Continue selling when out of stock,Inventory,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
inventory_locations_quantities,21,Product.hasOutOfStockVariants; Product.totalInventory; ProductVariant.availableForSale; ProductVariant.inventoryQuantity; ProductVariant.sellableOnlineQuantity; InventoryItem.inventoryLevel; InventoryItem.inventoryLevels; InventoryItem.locationsCount; InventoryLevel.canDeactivate; InventoryLevel.createdAt; InventoryLevel.deactivationAlert; InventoryLevel.id; ...,Inventory,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
markets_localization,14,Product.translations; ProductVariant.translations; Metafield.translations; Collection.translations; Translation.locale; Translation.key; Translation.value; Translation.marketId; TranslatableContent.digest; TranslatableContent.key; TranslatableContent.value; ShopLocale.locale; ...,Localization,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
media,89,Product.featuredMedia; Product.media; Product.mediaCount; ProductVariant.media; Media.mediaContentType; Media.alt; Media.preview; Media.status; Media.mediaErrors; Media.mediaWarnings; Media.id; ProductCSV.Image URL; ...,Media,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
merchant_classification,4,Product.productType; Product.tags; ProductCSV.Type; ProductCSV.Tags,Product fields/classification,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
metaobject_structures,33,Metaobject.capabilities; Metaobject.createdAt; Metaobject.createdBy; Metaobject.createdByApp; Metaobject.createdByStaff; Metaobject.definition; Metaobject.displayName; Metaobject.field; Metaobject.fields; Metaobject.handle; Metaobject.id; Metaobject.referencedBy; ...,Structured custom data / connector schema,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
presentation_template,2,Product.templateSuffix; StandardMetafieldDefinition.shopify--discovery--product_recommendation.related_products_display,Channel presentation,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
pricing_base,11,Product.compareAtPriceRange; Product.priceRangeV2; ProductVariant.compareAtPrice; ProductVariant.price; ProductVariant.showUnitPrice; ProductVariant.unitPrice; ProductVariant.unitPriceMeasurement; InventoryItem.unitCost; ProductCSV.Price; ProductCSV.Compare-at price; ProductCSV.Cost per item,Pricing,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
pricing_contextual_catalogs,76,Product.contextualPricing; ProductVariant.contextualPricing; Catalog.id; Catalog.operations; Catalog.priceList; Catalog.publication; Catalog.status; Catalog.title; MarketCatalog.id; MarketCatalog.markets; MarketCatalog.marketsCount; MarketCatalog.operations; ...,Pricing,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
product_content,9,Product.description; Product.descriptionHtml; Product.title; Product.vendor; ProductCSV.Title; ProductCSV.Description; ProductCSV.Vendor; StandardMetafieldDefinition.descriptors.subtitle; StandardMetafieldDefinition.descriptors.care_guide,Product fields,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
product_identity_lifecycle,3,Product.status; ProductCSV.Status; StandardMetafieldDefinition.shopify.unavailable_reason,Product lifecycle,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
product_sync_mutation,11,ProductSync.productSet; ProductSync.synchronous; ProductSync.identifier; ProductSync.list_replacement_semantics; ProductSetIdentifiers.customId; ProductSetIdentifiers.handle; ProductSetIdentifiers.id; ProductSetOperation.id; ProductSetOperation.product; ProductSetOperation.status; ProductSetOperation.userErrors,Connector sync orchestration,domain seam / structured capability,connector write orchestration; destructive reconciliation semantics,LEAD_COMPLETENESS_PASS
publication_visibility,34,Product.availablePublicationsCount; Product.publishedAt; Product.publishedInContext; Product.publishedOnPublication; Product.resourcePublications; Product.resourcePublicationsCount; Product.resourcePublicationsV2; Product.unpublishedPublications; ProductVariant.availablePublicationsCount; ProductVariant.publishedOnPublication; ProductVariant.resourcePublications; ProductVariant.resourcePublicationsCount; ...,Connector/channel publication,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
quantity_pricing,13,PriceList.quantityRules; PriceListPrice.quantityPriceBreaks; QuantityPriceBreak.id; QuantityPriceBreak.minimumQuantity; QuantityPriceBreak.price; QuantityPriceBreak.priceList; QuantityPriceBreak.variant; QuantityRule.increment; QuantityRule.isDefault; QuantityRule.maximum; QuantityRule.minimum; QuantityRule.originType; ...,Pricing,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
restrictions_feedback,2,Product.feedback; Product.restrictedForResource,Connector readiness,domain seam / structured capability,mostly external/system-owned or read-only,LEAD_COMPLETENESS_PASS
reviews_ratings,3,StandardMetafieldDefinition.reviews.rating; StandardMetafieldDefinition.reviews.rating_count; StandardMetaobjectDefinition.product_review,Cross-platform semantic candidate / connector schema,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
selling_plans_purchase_options,38,Product.requiresSellingPlan; Product.sellingPlanGroups; Product.sellingPlanGroupsCount; ProductVariant.sellingPlanGroups; ProductVariant.sellingPlanGroupsCount; SellingPlanGroup.sellingPlans; SellingPlanGroup.products; SellingPlanGroup.productVariants; SellingPlan.billingPolicy; SellingPlan.deliveryPolicy; SellingPlan.pricingPolicies; SellingPlan.options; ...,Purchase options,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
seo_routing,9,Product.handle; Product.onlineStorePreviewUrl; Product.onlineStoreUrl; Product.seo; ProductCSV.URL handle; ProductCSV.SEO title; ProductCSV.SEO description; StandardMetafieldDefinition.shopify--discovery--product_search_boost.queries; StandardMetafieldDefinition.shopify.external_url,Connector/channel routing,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
shipping_customs,13,InventoryItem.countryCodeOfOrigin; InventoryItem.countryHarmonizedSystemCodes; InventoryItem.harmonizedSystemCode; InventoryItem.measurement; InventoryItem.provinceCodeOfOrigin; InventoryItem.requiresShipping; ProductCSV.Requires shipping; ProductCSV.Weight; ProductCSV.Weight unit; ProductCSV.HS code; ProductCSV.Country of origin; StandardMetafieldDefinition.import_information.trade_item_description; ...,Product logistics/customs,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
tax_fulfillment,2,ProductVariant.taxable; ProductCSV.Charge tax,Tax/fulfillment,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
taxonomy_standard_category,21,Product.category; ProductCSV.Product category; TaxonomyCategory.ancestorIds; TaxonomyCategory.attributes; TaxonomyCategory.childrenIds; TaxonomyCategory.fullName; TaxonomyCategory.id; TaxonomyCategory.isArchived; TaxonomyCategory.isLeaf; TaxonomyCategory.isRoot; TaxonomyCategory.level; TaxonomyCategory.name; ...,Taxonomy/channel mapping,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
variant_identity,16,Product.variants; Product.variantsCount; ProductVariant.barcode; ProductVariant.displayName; ProductVariant.position; ProductVariant.product; ProductVariant.sku; InventoryItem.sku; InventoryItem.variants; ProductCSV.SKU; ProductCSV.Barcode; StandardMetafieldDefinition.facts.isbn; ...,ProductVariant,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
variant_options,25,Product.hasOnlyDefaultVariant; Product.options; ProductVariant.selectedOptions; ProductVariant.title; ProductOption.id; ProductOption.linkedMetafield; ProductOption.name; ProductOption.optionValues; ProductOption.position; ProductOption.translations; ProductOption.values; ProductOptionValue.hasVariants; ...,Product variants,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
channel_product_feeds,8,ProductFeed channelId/country/language/status; productFeedCreate/delete; productFullSync,Connector/channel transport,"connector channel context / feed lifecycle, not generic FieldMapping",READ + channel feed configuration/sync trigger where permitted,LEAD_COMPLETENESS_PASS
market_delivery_shipping,82,MarketDeliveryConfigurations.shipping; ShippingConfiguration.isEnabled; ShippingConfiguration.optionDefinitions; ShippingConfiguration.optionDefinitionsCount; DeliveryOptionDefinition.currency; DeliveryOptionDefinition.description; DeliveryOptionDefinition.freeDeliveryMinimumValue; DeliveryOptionDefinition.id; DeliveryOptionDefinition.includedCollections; DeliveryOptionDefinition.includedLocations; DeliveryOptionDefinition.isActive; DeliveryFlatRateOptionDefinition.currency,Fulfillment/shipping channel context,domain seam / structured capability,candidate READ/WRITE only when market-driven shipping is authoritative; never generic FieldMapping,LEAD_COMPLETENESS_PASS
