surface,scope,version_scope,primary_role,read_write_semantics,inventory_use,refresh_model,authoritative_url
admin_graphql_selling_plans,Shopify Admin,2026-07 latest stable,SellingPlanGroup/SellingPlan purchase options,READ/WRITE subject to app/resource rules,subscription/preorder/TBYB purchase mechanics,quarterly API baseline + app lifecycle checks,https://shopify.dev/docs/api/admin-graphql/2026-07/objects/SellingPlanGroup
admin_graphql_delivery_profiles,Shopify Admin,2026-07 latest stable,DeliveryProfile product/variant assignment,2026-07: app-owned profiles remain mutable; merchant-owned profile APIs are deprecated for shops using market-driven shipping and may become stale/non-authoritative,shipping/fulfillment configuration,quarterly API baseline + changelog,https://shopify.dev/docs/api/admin-graphql/2026-07/objects/DeliveryProfile
admin_graphql_translations,Shopify Admin Markets,2026-07 latest stable,translatable resources/content + translations,READ/WRITE with digest concurrency token,localized Product/content/metafield/metaobject values,quarterly API baseline + locale/market config,https://shopify.dev/docs/apps/build/markets/manage-translated-content
product_csv,Shopify Admin bulk file,current help contract,merchant product CSV representation,READ/export + WRITE/import; column-dependent destructive semantics,"bulk aliases, option/variant/media/market/metafield representation",help-doc freshness + sample template,https://help.shopify.com/en/manual/products/import-export/using-csv
storefront_graphql,Shopify Storefront,current Storefront API,buyer-facing product representation,READ-only from connector certification perspective,derived/customer-facing representation evidence only,versioned API baseline,https://shopify.dev/docs/api/storefront/latest/objects/Product
admin_rest_legacy,Shopify Admin legacy,legacy; existing repo source 2024-10,historical Product representation / aliases,legacy; do not use as modern runtime baseline,migration/alias evidence for body_html and old shapes,historical only,https://shopify.dev/docs/api/admin-rest/latest/resources/product
api_versioning_changelog,Shopify platform,quarterly versions,schema freshness authority,n/a,version lifecycle/deprecations/new fields/mutations,check every quarterly release,https://shopify.dev/docs/api/usage/versioning
admin_graphql_product_set,Shopify Admin,2026-07 latest stable,sync-oriented Product mutation + set inputs,WRITE; list fields are replacement-style,external-source synchronization semantics and Product/Variant set inputs,quarterly API baseline + changelog,https://shopify.dev/docs/api/admin-graphql/2026-07/mutations/productSet
admin_graphql_gift_card_product,Shopify Admin gift-card capability,2026-07 latest stable,gift-card Product/Variant set inputs,WRITE; specialized defaults/restrictions,gift-card product structure separate from ordinary Product assumptions,quarterly API baseline + changelog,https://shopify.dev/docs/api/admin-graphql/2026-07/input-objects/GiftCardProductSetInput
admin_graphql_taxonomy,Shopify Standard Product Taxonomy via Admin API,2026-07 latest stable + taxonomy repository,taxonomy categories/attribute types,READ taxonomy; product category assignment via Product writes,"standard category hierarchy, category-specific attributes and identifiers",quarterly API + taxonomy repository history,https://shopify.dev/docs/api/admin-graphql/2026-07/objects/TaxonomyCategory
admin_graphql_files,Shopify Admin files/media,2026-07 latest stable,generic file/file APIs,READ/WRITE through file operations and references,generic documents/files beyond Product media image/video/3D,quarterly API baseline + developer changelog,https://shopify.dev/docs/api/admin-graphql/2026-07/objects/GenericFile
admin_graphql_collection_sources,Shopify Admin collections,2026-07 latest stable,current source/condition collection-membership model,READ/WRITE; legacy ruleSet is superseded,automatic/manual/sub-collection membership and condition semantics,quarterly API baseline + developer changelog,https://shopify.dev/docs/api/admin-graphql/2026-07/interfaces/CollectionSource
admin_graphql_bulk_operations,Shopify Admin high-volume transport,2026-07 latest stable,async GraphQL query/mutation bulk execution,"READ/WRITE transport; results JSONL, staged upload for mutations",large-catalog connector transport and certification mechanics,quarterly API baseline + developer changelog,https://shopify.dev/docs/api/usage/bulk-operations
shopify_webhooks,Shopify event delivery,2026-07 latest stable,near-real-time change hints,READ event delivery; subscription configuration write,schema freshness/change detection; never sole reconciliation authority,quarterly API baseline + developer changelog,https://shopify.dev/docs/apps/build/webhooks
admin_graphql_product_feeds,Shopify Admin sales-channel product feeds,2026-07 latest stable,channel ProductFeed configuration and feed synchronization lifecycle,READ ProductFeed; create/delete and productFullSync trigger where access permits,"channel-specific product feed transport/context, not canonical Product data",quarterly API version + connected-app/channel capability proof,https://shopify.dev/docs/api/admin-graphql/2026-07/objects/ProductFeed
shopify_events,Shopify Events & webhooks trigger surface,current event surface; capability announced 2026-07-21,fine-grained freshness triggers including Product metafield changes,event delivery/freshness hint only; authoritative final state must be re-read,"precision change notification and schema freshness, never business-data authority",monitor Events/webhooks changelog and live subscription capability,https://shopify.dev/changelog/metafield-triggers-and-additional-topics-are-now-available-for-events
