external_field,type_or_ref,classification,description,api_surface,read_semantics,write_semantics,source_version,verified_at,source_url
cloudExportAdditionalProperties,array[CloudExportAdditionalProperties],channel_context,Extra fields to export to the Cloud Retail program.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
co2Emissions,ref:Co2Emissions,specialized_vertical_field:vehicle,The [co2 emission](https://support.google.com/google-ads/answer/14546146) of the vehicle.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
color,string,semantic_product_field,"[Color](https://support.google.com/merchants/answer/6324487) of the item. For example, ""red"".",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
condition,string,semantic_product_field,[Condition](https://support.google.com/merchants/answer/6324469) or state of the item.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
costOfGoodsSold,ref:Price,pricing_or_commercial_domain,Cost of goods sold. Used for gross profit reporting.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
customLabel0,string,channel_context,[Custom label 0](https://support.google.com/merchants/answer/6324473) for custom grouping of items in a Shopping campaign.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
customLabel1,string,channel_context,[Custom label 1](https://support.google.com/merchants/answer/6324473) for custom grouping of items in a Shopping campaign.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
customLabel2,string,channel_context,[Custom label 2](https://support.google.com/merchants/answer/6324473) for custom grouping of items in a Shopping campaign.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
customLabel3,string,channel_context,[Custom label 3](https://support.google.com/merchants/answer/6324473) for custom grouping of items in a Shopping campaign.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
customLabel4,string,channel_context,[Custom label 4](https://support.google.com/merchants/answer/6324473) for custom grouping of items in a Shopping campaign.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
dateFirstRegistered,string,channel_or_specialized_context,The date the vehicle was first registered. Format: `YYYY-MM`. See the [Date first registered](https://support.google.com/google-ads/answer/14546138) for more information.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
description,string,semantic_product_field,Description of the item.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
disclosureDate,string,channel_context,"The date time when an offer becomes visible in search results across Google’s YouTube surfaces, in [ISO 8601](http://en.wikipedia.org/wiki/ISO_8601) format. See [Disclosure date](https://support.google.com/merchants/answer/13034208) for more information.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
displayAddress,ref:DisplayAddress,specialized_vertical_field:property,The display address of the property.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
displayAdsId,string,channel_context,An identifier for an item for dynamic remarketing campaigns.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
displayAdsLink,string,channel_context,URL directly to your item's landing page for dynamic remarketing campaigns.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
displayAdsSimilarIds,array[string],channel_context,"Advertiser-specified recommendations. For more information, see [Display ads attribute specification](https://support.google.com/merchants/answer/6069387).",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
displayAdsTitle,string,channel_context,Title of an item for dynamic remarketing campaigns.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
displayAdsValue,number,channel_context,"Offer margin for dynamic remarketing campaigns. For more information, see [Display ads attribute](https://support.google.com/merchants/answer/6069387).",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
documentLinks,array[string],media_domain,"Optional. Contains a list of PDF [document URLs](https://support.google.com/merchants/answer/17084656) for the product. Examples are training manuals, user guides, assembly instructions, package inserts, etc. Must start with ""http://"" or ""https://""), ASCII characters only, and RFC 3986 compliant.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
electricRange,ref:Mileage,specialized_vertical_field:vehicle,The [electric range](https://support.google.com/google-ads/answer/15162232) of the vehicle in miles/kms.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
emissionsStandard,string,specialized_vertical_field:vehicle,The [emission standard](https://support.google.com/google-ads/answer/14869021) of the vehicle.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
energyConsumption,ref:EnergyConsumption,specialized_vertical_field:vehicle,The [energy consumption](https://support.google.com/google-ads/answer/14546149) of the vehicle.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
energyEfficiencyClass,string,semantic_product_field,The [energy efficiency class](https://support.google.com/merchants/answer/7562785) as defined in EU directive 2010/30/EU.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
engine,string,specialized_vertical_field:vehicle,The [engine](https://support.google.com/google-ads/answer/14156068) type of the vehicle.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
excludedDestinations,array[string],channel_context,"The list of destinations to exclude for this target (corresponds to unchecked check boxes in Merchant Center). For more information, see [Excluded destination](https://support.google.com/merchants/answer/6324486). Note: We recommend setting destinations on datasources level for most use cases. Use this field within products to only setup exceptions.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
expirationDate,string,channel_context,"Date on which the item should expire, as specified upon insertion, in [ISO 8601](http://en.wikipedia.org/wiki/ISO_8601) format. The actual expiration date is exposed in `productstatuses` as [googleExpirationDate](https://support.google.com/merchants/answer/6324499) and might be earlier if `expirationDate` is too far in the future.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
externalSellerId,string,channel_context,Required for multi-seller accounts. Use this attribute if you're a marketplace uploading products for various sellers to your multi-seller account.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
freeShippingThreshold,array[FreeShippingThreshold],shipping_returns_domain,Conditions to be met for a product to have free shipping.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
fuelConsumption,ref:FuelConsumption,specialized_vertical_field:vehicle,The [fuel consumption](https://support.google.com/google-ads/answer/14543580) of the vehicle.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
fuelConsumptionDischargedBattery,ref:FuelConsumption,specialized_vertical_field:vehicle,The fuel consumption of the vehicle when the hybrid battery is discharged. See the [Help Center article](https://support.google.com/google-ads/answer/15162033) for more information.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
gender,string,semantic_product_field,Target [gender](https://support.google.com/merchants/answer/6324479) of the item.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
googleProductCategory,string,taxonomy_context,"Google's category of the item (see [Google product taxonomy](https://support.google.com/merchants/answer/1705911)). When querying products, this field will contain the user provided value. There is currently no way to get back the auto assigned google product categories through the API.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
gtins,array[string],identifier_or_identity_semantic,Global Trade Item Numbers ([GTIN](https://support.google.com/merchants/answer/6324461)) of the item. You can provide up to 10 GTINs.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
handlingCutoffTimes,array[HandlingCutoffTime],shipping_returns_domain,The handling cutoff times for shipping.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
identifierExists,boolean,identifier_or_identity_semantic,"Set this value to false when the item does not have unique product identifiers appropriate to its category, such as GTIN, MPN, and brand. Defaults to true, if not provided.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
imageLink,string,media_domain,URL of an image of the item.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
includedDestinations,array[string],channel_context,"The list of destinations to include for this target (corresponds to checked check boxes in Merchant Center). Default destinations are always included unless provided in `excludedDestinations`. For more information, see [Included destination](https://support.google.com/merchants/answer/7501026). Note: We recommend setting destinations on datasources level for most use cases. Use this field within products to only setup exceptions.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
installment,ref:ProductInstallment,pricing_or_commercial_domain,Number and amount of installments to pay for an item.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
isBundle,boolean,relationship_or_variant_capability,Whether the item is a business-defined sub-API. A [sub-API] (https://support.google.com/merchants/answer/6324449) is a custom grouping of different products sold by a business for a single price.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
itemGroupId,string,relationship_or_variant_capability,Shared identifier for all variants of the same product.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
itemGroupTitle,string,relationship_or_variant_capability,"Optional. Represents the [title of the product group](https://support.google.com/merchants/answer/17085146) to which this variant product belongs. This can be used along with the [item group id](https://support.google.com/merchants/answer/6324507) attribute. It lets you perform better grouping of variant products, and helps identifying common product characteristics more efficiently.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
latitude,number,specialized_vertical_field:property,"The latitude of the property. The value must be between -90 (inclusive) and 90 (inclusive), up to 6 decimal places.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
leaseTerm,ref:LeaseTerm,specialized_vertical_field:property,The lease term of the property.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
lifestyleImageLinks,array[string],media_domain,"Additional URLs of lifestyle images of the item, used to explicitly identify images that showcase your item in a real-world context. See the [Help Center article](https://support.google.com/merchants/answer/9103186) for more information.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
link,string,semantic_product_field,URL directly linking to your item's page on your online store.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
linkTemplate,string,channel_context,[Link template](https://support.google.com/merchants/answer/13871172) for business hosted local storefront.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
longitude,number,specialized_vertical_field:property,"The longitude of the property. The value must be between -180 (inclusive) and 180 (inclusive), up to 6 decimal places.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
loyaltyPoints,ref:LoyaltyPoints,pricing_or_commercial_domain,Loyalty points that users receive after purchasing the item. Japan only.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
loyaltyPrograms,array[LoyaltyProgram],pricing_or_commercial_domain,"A list of loyalty program information that is used to surface loyalty benefits (for example, better pricing, points, etc) to the user of this item.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
material,string,semantic_product_field,"The [material](https://support.google.com/merchants/answer/6324410) of which the item is made. For example, ""Leather"" or ""Cotton"".",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
maxEnergyEfficiencyClass,string,semantic_product_field,The [energy efficiency class](https://support.google.com/merchants/answer/7562785) as defined in EU directive 2010/30/EU.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
maxHandlingTime,string,shipping_returns_domain,Maximal product handling time (in business days).,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
maximumRetailPrice,ref:Price,pricing_or_commercial_domain,Maximum retail price (MRP) of the item. Applicable to India only.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
mileage,ref:Mileage,specialized_vertical_field:vehicle,The number of miles/kms on the vehicle. See the [Mileage](https://support.google.com/google-ads/answer/14156166) for more information.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
minEnergyEfficiencyClass,string,semantic_product_field,The [energy efficiency class](https://support.google.com/merchants/answer/7562785) as defined in EU directive 2010/30/EU.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
minHandlingTime,string,shipping_returns_domain,Minimal product handling time (in business days).,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
minimumOrderValues,array[ProductMinimumOrderValue],pricing_or_commercial_domain,"The [minimum value](https://support.google.com/merchants/answer/16989009) in the cart before a customer can initiate checkout. Supports multiple minimum order values. Different minimum order values can be specified per country, service and surface. Maximum entries: 100.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
mobileLink,string,semantic_product_field,URL for the mobile-optimized version of your item's landing page.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
mobileLinkTemplate,string,channel_context,[Link template](https://support.google.com/merchants/answer/13870216) for business hosted local storefront optimized for mobile devices.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
model,string,channel_or_specialized_context,"The [Model](https://support.google.com/google-ads/answer/14154511) of the vehicle, such as `LX`, `EX`, and others.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
mpn,string,identifier_or_identity_semantic,Manufacturer Part Number ([MPN](https://support.google.com/merchants/answer/6324482)) of the item.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
multipack,string,relationship_or_variant_capability,The number of identical products in a business-defined multipack.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
neighborhood,string,specialized_vertical_field:property,"The neighborhood (locality) of the property, such as `Wallingford`, `Greenwood`, etc.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
numberOfBathrooms,number,specialized_vertical_field:property,The number of bathrooms in the property. The value must be greater than 0 and a multiple of 0.5.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
numberOfBedrooms,number,specialized_vertical_field:property,The number of bedrooms in the property. The value must be greater than or equal to 0 and a multiple of 1.0.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
numberOfUnits,string,specialized_vertical_field:property,The number of units available for a specific floor plan of the property. The value must be greater than 0.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
pattern,string,semantic_product_field,"The item's [pattern](https://support.google.com/merchants/answer/6324483). For example, polka dots.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
pause,string,channel_context,Publication of this item will be temporarily [paused](https://support.google.com/merchants/answer/11909930).,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
petPolicy,ref:PetPolicy,specialized_vertical_field:property,The pet policy for the property.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
pickupCost,ref:PickupCost,shipping_returns_domain,Optional. The [pickup cost](https://support.google.com/merchants/answer/16988704) for an item when a customer buys it online and picks it up at a store.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
pickupMethod,string,shipping_returns_domain,The [pickup](https://support.google.com/merchants/answer/14634021) option for the item.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
pickupSla,string,shipping_returns_domain,"Item store pickup timeline. For more information, see [Pickup SLA](https://support.google.com/merchants/answer/14635400).",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
popularityRank,number,semantic_product_field,Optional. Indicates the [popularity](https://support.google.com/merchants/answer/17085297) of the product in a merchant's inventory. Using a scale of 0.0 (lowest) to 100.0 (highest).,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
price,ref:Price,pricing_or_commercial_domain,Price of the item.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
