concept_key,concept_name,current_status,current_scope,current_kind,current_owner,current_binding,current_verification,current_action,registry_state,lead_decision,proposed_status,proposed_scope_or_owner,proposed_binding,confidence,evidence_summary,materialization_gate,lead_note
order_step,Order Step,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,system / Product,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
package_quantity,Package Quantity,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,system / Product,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
package_type,Package Type,active,system,core_model_property,Product,product,partially_verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,system / Product,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
units_per_box,Units Per Box,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,system / Product,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
boxes_per_pallet,Boxes Per Pallet,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,system / Product,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
lead_time_days,Lead Time Days,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,system / Product,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
net_weight,Net Weight,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_STRICT_SEMANTICS,active,system / Product,product,HIGH,DEC-009 strict semantics remain valid; Google/Amazon/Shopify/BigCommerce shipping or packaged weights do not prove raw equivalence.,EXISTING_CONTRACT,Keep strict net/gross definitions. Introduce a separate shipping-weight domain concept rather than weakening these fields.
gross_weight,Gross Weight,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_STRICT_SEMANTICS,active,system / Product,product,HIGH,DEC-009 strict semantics remain valid; Google/Amazon/Shopify/BigCommerce shipping or packaged weights do not prove raw equivalence.,EXISTING_CONTRACT,Keep strict net/gross definitions. Introduce a separate shipping-weight domain concept rather than weakening these fields.
volume_m3,Volume,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,system / Product,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
depth_mm,Depth,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_CONCEPT_VARIANT_BINDING_REVIEW,active,system / Product,product,HIGH_CONCEPT_MEDIUM_BINDING,Google product dimensions + BigCommerce Product/Variant dimensions + Amazon item_dimensions confirm physical dimensions; variant-level override semantics exist externally.,TARGETED_BINDING_REVIEW_BEFORE_VARIANT_MAPPING,"Keep current Product column semantics. Before any Variant mapping, decide how these core_model_property concepts are registered through FieldDefinition/FieldBinding so Product can retain a column binding and Variant can use a dynamic binding on the same concept; do not create duplicate variant dimension concepts."
width_mm,Width,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_CONCEPT_VARIANT_BINDING_REVIEW,active,system / Product,product,HIGH_CONCEPT_MEDIUM_BINDING,Google product dimensions + BigCommerce Product/Variant dimensions + Amazon item_dimensions confirm physical dimensions; variant-level override semantics exist externally.,TARGETED_BINDING_REVIEW_BEFORE_VARIANT_MAPPING,"Keep current Product column semantics. Before any Variant mapping, decide how these core_model_property concepts are registered through FieldDefinition/FieldBinding so Product can retain a column binding and Variant can use a dynamic binding on the same concept; do not create duplicate variant dimension concepts."
height_mm,Height,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_CONCEPT_VARIANT_BINDING_REVIEW,active,system / Product,product,HIGH_CONCEPT_MEDIUM_BINDING,Google product dimensions + BigCommerce Product/Variant dimensions + Amazon item_dimensions confirm physical dimensions; variant-level override semantics exist externally.,TARGETED_BINDING_REVIEW_BEFORE_VARIANT_MAPPING,"Keep current Product column semantics. Before any Variant mapping, decide how these core_model_property concepts are registered through FieldDefinition/FieldBinding so Product can retain a column binding and Variant can use a dynamic binding on the same concept; do not create duplicate variant dimension concepts."
meta_title,Meta Title,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_CONCEPT_DOC_ALIGNMENT,active,system / Product,product,HIGH,Adobe + BigCommerce + Shopify expose dedicated SEO title/description surfaces; current Domain Model already resolves these as platform SEO Product concepts.,ALIGN_02_NAMING_LOCALIZATION_BEFORE_NEW_SEED,Keep current canonical code/owner. Align 02 wording (seo_title/seo_description) with registry meta_title/meta_description and preserve localization decision gate.
meta_description,Meta Description,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_CONCEPT_DOC_ALIGNMENT,active,system / Product,product,HIGH,Adobe + BigCommerce + Shopify expose dedicated SEO title/description surfaces; current Domain Model already resolves these as platform SEO Product concepts.,ALIGN_02_NAMING_LOCALIZATION_BEFORE_NEW_SEED,Keep current canonical code/owner. Align 02 wording (seo_title/seo_description) with registry meta_title/meta_description and preserve localization decision gate.
rozetka_category_id,Rozetka Category ID,active,not_applicable,connector_only,ConnectorMapping,not_applicable,partially_verified,connector_mapping_only,CURRENT_65,KEEP_AS_IS,active,not_applicable / ConnectorMapping,not_applicable,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
color,Color,active,platform_library,dynamic_field,FieldDefinition,product_variant,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,platform_library / FieldDefinition,product_variant,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
size,Size,active,platform_library,dynamic_field,FieldDefinition,product_variant,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,platform_library / FieldDefinition,product_variant,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
material,Material,proposed,platform_library,dynamic_field,FieldDefinition,product,partially_verified,add_to_platform_library,CURRENT_65,PROMOTE_SEMANTIC_CONFIDENCE_BINDING_REVIEW,active,platform_library / FieldDefinition,product,HIGH,Adobe material + Google material + Amazon material + Shopify taxonomy independently confirm the concept; Schema.org material also supports it.,BINDING_ARBITRATION_BEFORE_SEED,Concept is strong enough for active/verified. Product-only vs Product+Variant binding still merits targeted review.
age_group,Age Group,proposed,platform_library,dynamic_field,FieldDefinition,product,partially_verified,add_to_platform_library,CURRENT_65,KEEP_PROPOSED_BINDING_GAP,proposed,platform_library / FieldDefinition,product,HIGH_CONCEPT_MEDIUM_BINDING,Google ageGroup + Shopify taxonomy + Amazon age_range_description support the concept; DEC-006 already freezes current value normalization.,GAP_022_BINDING_DECISION,Concept is strong; do not seed until Product-vs-Variant applicability is resolved.
gender,Gender,proposed,platform_library,dynamic_field,FieldDefinition,product,partially_verified,add_to_platform_library,CURRENT_65,KEEP_PROPOSED_BINDING_GAP,proposed,platform_library / FieldDefinition,product,HIGH_CONCEPT_MEDIUM_BINDING,Google gender + Shopify target_gender + Amazon target_gender support the concept; DEC-007 freezes the canonical value set.,GAP_022_BINDING_DECISION,Concept is strong; do not seed until Product-vs-Variant applicability is resolved.
country_of_origin,Country of Origin,proposed,platform_library,dynamic_field,FieldDefinition,product,partially_verified,add_to_platform_library,CURRENT_65,KEEP_PROPOSED_OWNER_BINDING_REVIEW,proposed,platform_library / FieldDefinition,product,HIGH_CONCEPT_MEDIUM_OWNER,"Amazon country_of_origin + Shopify InventoryItem.countryCodeOfOrigin + Schema.org countryOfOrigin confirm the concept. Shopify attaches origin to InventoryItem rather than Product, reinforcing Product-vs-Variant/domain ownership ambiguity; legal origin and country_of_manufacture must not be silently merged.",OWNER_AND_BINDING_ARBITRATION,Clarify definition and Product-vs-Variant/domain owner before promotion; do not conflate with country_of_manufacture.
manufacturer,Manufacturer,proposed,platform_library,dynamic_field,FieldDefinition,product,partially_verified,add_to_platform_library,CURRENT_65,PROMOTE_ACTIVE_VERIFIED,active,platform_library / FieldDefinition,product,HIGH,Amazon manufacturer + Schema.org manufacturer independently confirm a neutral manufacturer concept. Adobe manufacturer is supplementary only because DEC-010 says its guaranteed availability across all Adobe installations is not established; Shopify vendor and BigCommerce brand_name are not automatic equivalents.,DOC_APPROVAL_THEN_LIBRARY_SEED,Promote concept; keep separate from brand/vendor.
model,Model,proposed,platform_library,dynamic_field,FieldDefinition,product,partially_verified,add_to_platform_library,CURRENT_65,PROMOTE_ACTIVE_VERIFIED,active,platform_library / FieldDefinition,product,HIGH,Amazon model_number/model_name + Schema.org Product.model confirm neutral model semantics; provider-specific vehicle model remains separate applicability.,DOC_APPROVAL_THEN_LIBRARY_SEED,Promote neutral Product model concept; do not merge with MPN.
compatibility,Compatibility,proposed,platform_library,dynamic_field,FieldDefinition,product,partially_verified,add_to_platform_library,CURRENT_65,KEEP_PROPOSED,proposed,platform_library / FieldDefinition,product,MEDIUM,"Shopify/category taxonomies and provider custom fields show category-specific compatibility, but no second broad exact provider semantic was proven.",MORE_EVIDENCE,"Keep candidate, not active global library yet."
battery_type,Battery Type,proposed,platform_library,dynamic_field,FieldDefinition,product,partially_verified,add_to_platform_library,CURRENT_65,KEEP_PROPOSED,proposed,platform_library / FieldDefinition,product,MEDIUM,"Amazon battery structures and Shopify taxonomy confirm battery data exists, but exact generic battery_type semantics remain category/structure-sensitive.",MORE_EVIDENCE,Keep candidate; do not flatten structured battery compliance into one field.
shipping_required,Shipping Required,active,platform_library,dynamic_field,FieldDefinition,product_variant,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,platform_library / FieldDefinition,product_variant,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
backorder_policy,Backorder Policy,active,platform_library,dynamic_field,FieldDefinition,product_variant,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,platform_library / FieldDefinition,product_variant,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
technical_characteristics,Technical Characteristics,active,platform_library,dynamic_field,FieldDefinition,product,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,platform_library / FieldDefinition,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
instructions,Instructions,active,platform_library,dynamic_field,FieldDefinition,product,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,platform_library / FieldDefinition,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
accessory,Accessory Relationship,proposed,not_applicable,product_association_domain,ProductAssociation,not_applicable,partially_verified,relation_not_field,CURRENT_65,KEEP_AS_IS,proposed,not_applicable / ProductAssociation,not_applicable,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
compatible_with,Compatible With,proposed,not_applicable,product_association_domain,ProductAssociation,not_applicable,partially_verified,relation_not_field,CURRENT_65,KEEP_AS_IS,proposed,not_applicable / ProductAssociation,not_applicable,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
cross_sell,Cross-sell Relationship,proposed,not_applicable,product_association_domain,ProductAssociation,not_applicable,partially_verified,relation_not_field,CURRENT_65,KEEP_AS_IS,proposed,not_applicable / ProductAssociation,not_applicable,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
has_energy_consumption_details,Energy Consumption Details,proposed,platform_library,compliance_entity,not_implemented,product,needs_legal_review,needs_legal_review,CURRENT_65,KEEP_LEGAL_REVIEW,proposed,platform_library / not_implemented,product,MEDIUM,Current canonical registry + project/domain contract; no five-provider blocker found.,NORMATIVE_LEGAL_EVIDENCE,No promotion without the legal/compliance evidence required by registry governance.
variant_attributes,Variant Attributes JSON,active,system,core_model_property,ProductVariant,product_variant,verified,computed_not_editable,CURRENT_65,KEEP_AS_IS,active,system / ProductVariant,product_variant,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
synced_at,Last Sync Timestamp,active,system,computed_projection,calculated,product_and_variant_two_bindings,verified,computed_not_editable,CURRENT_65,KEEP_AS_IS,active,system / calculated,product_and_variant_two_bindings,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
tags,Tags,active,system,core_model_property,Product,product,verified,add_to_product_model,CURRENT_65,KEEP_AS_IS,active,system / Product,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
recommended_retail_price,Recommended Retail Price,active,system,pricing_domain,ProductVariant,product_variant,verified,covered_by_existing_domain,CURRENT_65,KEEP_AS_IS,active,system / ProductVariant,product_variant,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
pattern,Pattern,active,platform_library,dynamic_field,FieldDefinition,product_and_variant_two_bindings,verified,add_to_platform_library,CURRENT_65,KEEP_AS_IS,active,platform_library / FieldDefinition,product_and_variant_two_bindings,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
style,Style,active,platform_library,dynamic_field,FieldDefinition,product_and_variant_two_bindings,verified,add_to_platform_library,CURRENT_65,KEEP_AS_IS,active,platform_library / FieldDefinition,product_and_variant_two_bindings,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
warranty,Warranty Description,active,platform_library,dynamic_field,FieldDefinition,product,verified,add_to_platform_library,CURRENT_65,KEEP_AS_IS,active,platform_library / FieldDefinition,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
product_highlights,Product Highlights,active,platform_library,dynamic_field,FieldDefinition,product,verified,add_to_platform_library,CURRENT_65,KEEP_AS_IS,active,platform_library / FieldDefinition,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
slug,Product Slug,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,ADD_PLATFORM_LIBRARY,active,platform_library / FieldDefinition,product,HIGH,Adobe url_key + BigCommerce custom_url + Shopify Product.handle independently prove a reusable route-key/slug concept distinct from absolute URL.,LOCALIZATION_AND_CHANNEL_OVERRIDE_DOC_DECISION,"Use neutral code slug, not handle/url_key/url_path; DEC-008 already requires this to remain separate from url."
size_system,Size System,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,ADD_PLATFORM_LIBRARY_BINDING_REVIEW,proposed,platform_library / FieldDefinition,undecided,HIGH_CONCEPT_MEDIUM_BINDING,Google sizeSystem plus Shopify Standard Product Taxonomy generic size-system independently confirm the concept.,BINDING_AND_VALUE_MODEL_REVIEW,Useful especially for apparel/footwear; keep separate from size and provider taxonomy IDs.
shipping_weight,Shipping Weight,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,ADD_DOMAIN_CANONICAL,active,shipping_logistics_domain,product_variant_or_domain_record,HIGH,"Google shippingWeight is explicit and Amazon item_package_weight is a distinct package/logistics measurement surface separate from Amazon item_weight. BigCommerce exposes only one ambiguous weight field used in shipping calculations and is not confirming evidence for a distinct shipping concept while bigcommerce_weight_semantics remains open; Shopify InventoryItem measurement is supporting packaged-item context, not load-bearing equivalence.",SHIPPING_DOMAIN_STORAGE_DECISION,Operational weight used for shipping calculations; do not weaken net_weight/gross_weight semantics.
shipping_dimensions,Shipping Dimensions,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,ADD_DOMAIN_CANONICAL,active,shipping_logistics_domain,product_variant_or_domain_record,HIGH,"Google explicitly separates shippingLength/Width/Height from product dimensions, and Amazon explicitly separates item_package_dimensions from item_dimensions. BigCommerce exposes only one depth/width/height set that may be used in shipping calculations and therefore is not disambiguating evidence for a distinct shipping-dimensions concept.",SHIPPING_DOMAIN_STRUCTURED_MEASUREMENT_DECISION,Structured shipping dimensions; do not map blindly to intrinsic depth_mm/width_mm/height_mm.
harmonized_system_code,Harmonized System Code,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,ADD_DOMAIN_CANONICAL,active,compliance_customs_domain,product_variant_or_domain_record,HIGH,Shopify InventoryItem.harmonizedSystemCode plus WCO Harmonized System international nomenclature establish a durable customs-classification concept.,COMPLIANCE_CUSTOMS_STORAGE_DECISION,"Customs classification, not Product category and not tax class."
unit_pricing_measure,Unit Pricing Measure,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,ADD_DOMAIN_CANONICAL,active,pricing_domain,product_variant/domain_record,HIGH,Google unit-pricing measure surfaces and Shopify ProductVariant.unitPriceMeasurement independently support the pricing measurement concept.,PRICING_DOMAIN_CONTRACT_UPDATE,Pricing-owned structured measure; never a generic Product Field.
max_order_quantity,Maximum Order Quantity,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,ACCEPT_CONCEPT_DEFER_OWNER,proposed,Product_or_B2B_commercial_domain,undecided,HIGH_CONCEPT_MEDIUM_OWNER,BigCommerce order_quantity_maximum and Amazon max_order_quantity independently confirm the neutral commercial constraint.,OWNER_AND_SCOPE_DECISION,Concept is real; decide whether it mirrors Product min_order_quantity or belongs to offer/B2B policy before materialization.
short_title,Short Product Title / Subtitle,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,DEFER_SEMANTIC_SPLIT,proposed,FieldDefinition_or_Content_domain,undecided,MEDIUM,"Google shortTitle and Shopify descriptors.subtitle independently expose short naming/summary concepts, but their exact semantics are not proven identical.",TARGETED_PRIMARY_SOURCE_ARBITRATION,Do not merge into short_description without proving title-vs-summary semantics.
canonical_url,Canonical URL,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,DEFER_URL_ROLE,proposed,SEO_or_publication_domain,product,MEDIUM,"Google canonicalLink explicitly exists; web canonical-link semantics are standard, but no second commerce provider in the five-provider corpus exposes an equivalent writable product field.",SECOND_COMMERCE_PROVIDER_OR_EXPLICIT_WEB_PUBLICATION_DECISION,Keep separate from url and slug; do not add merely because rel=canonical exists on the web.
care_instructions,Care Instructions,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,DEFER_SPLIT_FROM_INSTRUCTIONS,proposed,platform_library / FieldDefinition,product_and_variant_candidate,MEDIUM,Shopify standard care_guide plus Shopify taxonomy care-instructions strongly support the concept inside one provider; Adobe instructions is broader and not exact.,SECOND_INDEPENDENT_EXACT_SOURCE,Potentially distinct from generic usage/assembly instructions; no premature split.
length_dimension,Product Length Dimension,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,DEFER_MEASUREMENT_NAMING_MODEL,proposed,Product_or_FieldDefinition,undecided,MEDIUM_HIGH,"Google productLength and GS1 measurement standards support length, while current platform stores depth; GS1 notes depth/length can be interchangeable only in specific non-consumer contexts.",MEASUREMENT_MODEL_ARBITRATION,Do not alias length to depth globally; decide whether a separate length concept is required.
tax_classification,Tax Classification,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,DEFER_EXISTING_DOMAIN_DECISION,proposed,pricing_or_compliance_domain,undecided,MEDIUM,Existing Gate-2 synthesis already records differing provider tax representations with unresolved owner semantics.,TAX_DOMAIN_DECISION,No new generic field until provider tax class vs third-party tax code semantics are separated.
map_price,Minimum Advertised Price,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,DEFER_EXISTING_DOMAIN_DECISION,proposed,pricing_domain,product_variant/domain_record,MEDIUM,BigCommerce and Adobe pricing surfaces show MAP-like concepts but the exact pricing/policy model remains provider-sensitive.,PRICING_POLICY_DECISION,Keep out of Product Fields until Pricing owner contract is explicit.
order_time_customization_options,Order-time Product Customization Options,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,DEFER_EXISTING_DOMAIN_DECISION,proposed,product_customization_domain,structured_relation,HIGH_CONCEPT_MEDIUM_ARCH,BigCommerce modifiers and Adobe customizable options independently prove order-time customization as distinct from variant dimensions.,PRODUCT_CUSTOMIZATION_DOMAIN_DECISION,"Strong domain capability, but not a scalar canonical field."
certifications,Product Certifications,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,DEFER_EXISTING_DOMAIN_DECISION,proposed,compliance_domain,structured/domain_record,HIGH_CONCEPT_MEDIUM_MODEL,"Google certifications plus Amazon/Shopify compliance families show a real compliance concept, but one flat certifications field would erase structured/legal semantics.",COMPLIANCE_DOMAIN_MODEL_AND_NORMATIVE_SOURCES,Retain as domain candidate; no generic text/multiselect field.
