object_family,external_field,type_or_ref,classification,read_semantics,write_semantics,required_in,schema_evidence,description,openapi_version,verified_at,source_url
product,is_free_shipping,boolean,semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"Flag used to indicate whether the product has free shipping. If `true`, the shipping cost for the product will be zero.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,is_preorder_only,boolean,semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"If set to true then on the preorder release date the preorder status will automatically be removed. If set to false, then on the release date the preorder status **will not** be removed. It will need to be changed manually either in the control panel or using the API. Using the API set `availability` to `available`.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,is_price_hidden,boolean,channel_or_storefront_context,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"False by default, indicating that this productʼs price should be shown on the product page. If set to `true`, the price is hidden. (NOTE: To successfully set `is_price_hidden` to `true`, the `availability` value must be `disabled`.)",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,is_visible,boolean,channel_or_storefront_context,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"Flag to determine whether the product should be displayed to customers browsing the store. If `true`, the product will be displayed. If `false`, the product will be hidden from view.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,layout_file,string,channel_or_storefront_context,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"The layout template file used to render this product. This field is writable only for stores with a Blueprint theme applied, and its value must be a template file from the store's Blueprint theme. For stores with a Stencil theme applied, custom templates are managed through [Custom Template Associations](/developer/api-reference/rest/admin/content/custom-template-associations).",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,map_price,number,pricing_domain,READ,WRITE,none,product_Base_POST|product_Put|product_Full,Minimum Advertised Price,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,meta_description,string,semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"Custom meta description for the product page. If not defined, the storeʼs default meta description will be used.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,meta_keywords,array[string],semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"Custom meta keywords for the product page. If not defined, the storeʼs default keywords will be used.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,modifiers,array[#/components/schemas/productModifier_Full],relation_or_structured_capability,READ,read_only_or_specialized_endpoint,none,product_Full,,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,mpn,string,semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,Manufacturer Part Number,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,name,string,semantic_product_field,READ,WRITE,product_Base_POST,product_Base_POST|product_Put|product_Full,A unique product name.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,open_graph_description,string,channel_or_storefront_context,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"Description to use for the product, if not specified then the meta_description will be used instead.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,open_graph_title,string,channel_or_storefront_context,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"Title of the product, if not specified the product name will be used instead.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,open_graph_type,ref:#/components/schemas/ProductBasePostOpenGraphType,channel_or_storefront_context,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"Type of product, defaults to `product`.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,open_graph_use_image,boolean,channel_or_storefront_context,READ,WRITE,none,product_Base_POST|product_Put|product_Full,Flag to determine if product image or open graph image is used.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,open_graph_use_meta_description,boolean,channel_or_storefront_context,READ,WRITE,none,product_Base_POST|product_Put|product_Full,Flag to determine if product description or open graph description is used.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,open_graph_use_product_name,boolean,channel_or_storefront_context,READ,WRITE,none,product_Base_POST|product_Put|product_Full,Flag to determine if product name or open graph name is used.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,option_set_display,string,channel_or_storefront_context,READ,read_only_or_specialized_endpoint,none,product_Full,Legacy template setting which controls if the option set shows up to the side of or below the product image and description.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,option_set_id,integer,channel_or_storefront_context,READ,read_only_or_specialized_endpoint,none,product_Full,Indicates that the product is in an Option Set (legacy V2 concept).,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,options,array[#/components/schemas/productOption_Base],relation_or_structured_capability,READ,read_only_or_specialized_endpoint,none,product_Full,,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,order_quantity_maximum,integer,semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,The maximum quantity an order can contain when purchasing the product.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,order_quantity_minimum,integer,semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"The minimum quantity an order must contain, to be eligible to purchase this product.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,page_title,string,semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"Custom title for the product page. If not defined, the product name will be used as the meta title.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,preorder_message,string,semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"Custom expected-date message to display on the product page. If undefined, the message defaults to the storewide setting. Can contain the `%%DATE%%` placeholder, which will be substituted for the release date.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,preorder_release_date,"['string', 'null']",semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,Pre-order release date. See the `availability` field for details on setting a productʼs availability to accept pre-orders.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,price,string,pricing_domain,READ,WRITE,product_Base_POST,product_Base_POST|product_Put|product_Full,"The price of the product. The price should include or exclude tax, based on the store settings.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,price_hidden_label,string,channel_or_storefront_context,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"By default, an empty string. If `is_price_hidden` is `true`, the value of `price_hidden_label` is displayed instead of the price. (NOTE: To successfully set a non-empty string value with `is_price_hidden` set to `true`, the `availability` value must be `disabled`.)",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,primary_image,ref:#/components/schemas/primaryImage_Full,media_domain,READ,read_only_or_specialized_endpoint,none,product_Full,,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,product_tax_code,string,channel_or_storefront_context,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"Tax Codes, such as AvaTax System Tax Codes, identify products and services that fall into special sales-tax categories. By using these codes, merchants who subscribe to a tax provider integration, such as BigCommerceʼs Avalara Premium, can calculate sales taxes more accurately. Stores without a tax provider will ignore the code when calculating sales tax. Do not pass more than one code. The codes are case-sensitive. For details, please see the tax providerʼs documentation.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,related_products,array[integer],relation_or_structured_capability,READ,WRITE,none,product_Base_POST|product_Put|product_Full,An array of IDs for the related products.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,retail_price,string,pricing_domain,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"The retail cost of the product. If entered, the retail cost price will be shown on the product page.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,reviews_count,integer,derived_or_external_metadata,READ,WRITE,none,product_Base_POST|product_Put|product_Full,The number of times the product has been rated.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,reviews_rating_sum,integer,derived_or_external_metadata,READ,WRITE,none,product_Base_POST|product_Put|product_Full,The total (cumulative) rating for the product.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,sale_price,string,pricing_domain,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"If entered, the sale price will be used instead of value in the price field when calculating the productʼs cost.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,search_keywords,string,semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,A comma-separated list of keywords that can be used to locate the product when searching the store.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,sku,string,semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,A unique user-defined alphanumeric product code/stock keeping unit (SKU). The SKU is always unique regardless of the letter case for both products and variants.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,sort_order,integer,channel_or_storefront_context,READ,WRITE,none,product_Base_POST|product_Put|product_Full,Priority to give this product when included in product lists on category pages and in search results. Lower integers will place the product closer to the top of the results.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,tax_class_id,number,channel_or_storefront_context,READ,WRITE,none,product_Base_POST|product_Put|product_Full,The ID of the tax class applied to the product. (NOTE: Value ignored if automatic tax is enabled.),3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,total_sold,integer,derived_or_external_metadata,READ,WRITE,none,product_Base_POST|product_Put|product_Full,The total quantity of this product sold.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,type,ref:#/components/schemas/ProductBasePostType,channel_or_storefront_context,READ,WRITE,product_Base_POST,product_Base_POST|product_Put|product_Full,"The product type. One of: `physical` - a physical stock unit, `digital` - a digital download.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,upc,string,semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"The product UPC code, which is used in feeds for shopping comparison sites and external channel integrations.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,variants,array[#/components/schemas/productVariant_Full],relation_or_structured_capability,not_proven_by_selected_schema,WRITE,none,product_Base_POST,,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,videos,array[#/components/schemas/productVideo_Full],media_domain,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"The Catalog API integrates with third-party YouTube. The [YouTube Terms of Service](https://www.youtube.com/t/terms) and [Google Privacy Policy](https://policies.google.com/privacy) apply, as indicated in our [Privacy Policy](https://www.bigcommerce.com/privacy/) and [Terms of Service](https://www.bigcommerce.com/terms/).",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,view_count,integer,derived_or_external_metadata,READ,WRITE,none,product_Base_POST|product_Put|product_Full,The number of times the product has been viewed.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,warranty,string,semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,Warranty information displayed on the product page. Can include HTML formatting.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,weight,string,semantic_product_field,READ,WRITE,product_Base_POST,product_Base_POST|product_Put|product_Full,"Weight of the product, which can be used when calculating shipping costs. This is based on the unit set on the store",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,width,string,semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"Width of the product, which can be used when calculating shipping costs.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product_variant,bin_picking_number,"['string', 'null']",semantic_product_field,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,Identifies where in a warehouse the variant is located.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,calculated_price,number,computed_projection,READ,read_only_or_specialized_endpoint,none,productVariant_Full,The price of the variant as seen on the storefront. This price takes into account `sale_price` and any price adjustment rules that are applicable to this variant.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,calculated_weight,number,derived_or_external_metadata,READ,read_only_or_specialized_endpoint,none,productVariant_Full,,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,cost_price,"['number', 'null']",pricing_domain,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,The cost price of the variant. It is not affected by Price List prices. This value displays as null in the control panel when `cost_price` equals zero.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,depth,"['number', 'null']",semantic_product_field,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,"Depth of the variant, which can be used when calculating shipping costs. If this value is `null`, the productʼs default depth (set in the Product resourceʼs `depth` field) will be used as the base depth.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,fixed_cost_shipping_price,"['number', 'null']",pricing_domain,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,"A fixed shipping cost for the variant. If defined, this value will be used during checkout instead of normal shipping-cost calculation.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,gtin,"['string', 'null']",semantic_product_field,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,Global Trade Item Number,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,height,"['number', 'null']",semantic_product_field,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,"Height of the variant, which can be used when calculating shipping costs. If this value is `null`, the productʼs default height (set in the Product resourceʼs `height` field) will be used as the base height.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,id,integer,external_system_identity,READ,read_only_or_specialized_endpoint,none,productVariant_Full,,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,image_url,string,media_domain,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,Publicly available image url,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,inventory_level,"['integer', 'null']",inventory_availability_domain,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,"Inventory level for the variant, which is used when the product’s inventory_tracking is set to `variant`. The Catalog API returns the inventory for only the default location. The inventory for a variant cannot exceed 2,147,483,647 in the catalog. The sum of the variant inventories, or the total inventory for a product, cannot exceed 2,147,483,647. If you exceed the limit, the store sets the variant inventory to the limit if no other variant inventories are set. If other variant inventories are set, the store does not save the variant inventory rather than setting the variant inventory to the remaining limit. The Catalog API handles limits in a different way than the Inventory API. For more information, see [Limit handling](/developer/docs/admin/catalog-and-inventory/inventory-adjustments#limit-handling-in-inventory-versus-catalog-api).",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,inventory_warning_level,"['integer', 'null']",inventory_availability_domain,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,"When the variant hits this inventory level, it is considered low stock.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,is_free_shipping,boolean,semantic_product_field,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,"Flag used to indicate whether the variant has free shipping. If `true`, the shipping cost for the variant will be zero.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,mpn,"['string', 'null']",semantic_product_field,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,Manufacturer Part Number,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,option_values,array[#/components/schemas/productVariantOptionValue_Full],relation_or_structured_capability,READ,WRITE,none,productVariant_Post|productVariant_Full,Array of option and option values IDs that make up this variant. Will be empty if the variant is the productʼs base variant.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,price,"['number', 'null']",pricing_domain,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,"This variant’s base price on the storefront. If a Price List ID is used, the Price List value will be used. If a Price List ID is not used, and this value is `null`, the product’s default price (set in the Product resource’s `price` field) will be used as the base price.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,product_id,integer,external_system_identity,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,purchasing_disabled,boolean,inventory_availability_domain,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,"If `true`, this variant will not be purchasable on the storefront.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,purchasing_disabled_message,string,inventory_availability_domain,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,"If `purchasing_disabled` is `true`, this message should show on the storefront when the variant is selected.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,retail_price,"['number', 'null']",pricing_domain,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,"This variant’s retail price on the storefront. If a Price List ID is used, the Price List value will be used. If a Price List ID is not used, and this value is null, the product’s retail price (set in the Product resource’s `price` field) will be used as the retail price.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,sale_price,"['number', 'null']",pricing_domain,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,"This variant’s sale price on the storefront. If a Price List ID is used, the Price List value will be used. If a Price List ID is not used, and this value is null, the product’s sale price (set in the Product resource’s `price` field) will be used as the sale price.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
