topic_enum,topic,cluster,trigger_semantics,required_scope_or_context,connector_use,critical_caveat,source_surface,review_status
MARKETS_UPDATE,markets/update,pricing_contextual_catalogs,Market updated,market scope varies,near-real-time freshness hint,Refresh market/catalog context.,shopify_webhooks,LEAD_COMPLETENESS_PASS
MARKETS_DELETE,markets/delete,pricing_contextual_catalogs,Market deleted,market scope varies,near-real-time freshness hint,Market context deletion.,shopify_webhooks,LEAD_COMPLETENESS_PASS
METAFIELD_DEFINITIONS_CREATE,metafield_definitions/create,dynamic_metafields,MetafieldDefinition created,definition scope,near-real-time freshness hint,Schema freshness hint.,shopify_webhooks,LEAD_COMPLETENESS_PASS
METAFIELD_DEFINITIONS_UPDATE,metafield_definitions/update,dynamic_metafields,MetafieldDefinition updated,definition scope,near-real-time freshness hint,Re-evaluate type/validations/mapping readiness.,shopify_webhooks,LEAD_COMPLETENESS_PASS
METAFIELD_DEFINITIONS_DELETE,metafield_definitions/delete,dynamic_metafields,MetafieldDefinition deleted,definition scope,near-real-time freshness hint,Do not silently delete confirmed platform mappings; mark remediation.,shopify_webhooks,LEAD_COMPLETENESS_PASS
METAOBJECTS_CREATE,metaobjects/create,metaobject_structures,Metaobject created,metaobject scope,near-real-time freshness hint,Structured custom-data freshness.,shopify_webhooks,LEAD_COMPLETENESS_PASS
METAOBJECTS_UPDATE,metaobjects/update,metaobject_structures,Metaobject updated,metaobject scope,near-real-time freshness hint,Structured custom-data freshness.,shopify_webhooks,LEAD_COMPLETENESS_PASS
METAOBJECTS_DELETE,metaobjects/delete,metaobject_structures,Metaobject deleted,metaobject scope,near-real-time freshness hint,Reference/remediation check.,shopify_webhooks,LEAD_COMPLETENESS_PASS
LOCALES_CREATE,locales/create,markets_localization,Locale created,locale scope,near-real-time freshness hint,Localization context freshness.,shopify_webhooks,LEAD_COMPLETENESS_PASS
LOCALES_UPDATE,locales/update,markets_localization,Locale updated,locale scope,near-real-time freshness hint,Localization context freshness.,shopify_webhooks,LEAD_COMPLETENESS_PASS
LOCALES_DESTROY,locales/destroy,markets_localization,Locale removed,locale scope,near-real-time freshness hint,Localization removal/remediation.,shopify_webhooks,LEAD_COMPLETENESS_PASS
PRODUCT_METAFIELD_TRIGGER,Product metafield trigger,dynamic_metafields,Product metafield changed through current Events trigger surface,access to the target Product metafield,precision freshness hint for mapped Product custom data,Event indicates change; connector must re-read authoritative Product/metafield state before applying or exporting conclusions.,shopify_events,LEAD_COMPLETENESS_PASS
PRODUCT_VARIANT_METAFIELD_VIA_PRODUCT_TRIGGER,Product topic carrying ProductVariant metafield changes,dynamic_metafields,ProductVariant metafield changes are surfaced through Product topic,access to Product/variant metafield,variant custom-data freshness hint,Do not assume a dedicated ProductVariant metafield event topic; re-read authoritative variant/metafield state.,shopify_events,LEAD_COMPLETENESS_PASS
