concept_key,concept_name,current_registry_state,adobe_evidence,shopify_evidence,google_evidence,bigcommerce_evidence,amazon_evidence,project_or_standard_evidence,platform_owner_candidate,representation_candidate,canonical_decision,canonical_scope,enrichment_policy,rationale,review_status
gtin,GTIN,existing,gtin,ProductVariant.barcode / legacy variants.barcode are generic barcode representations; canonical GTIN equivalence is partial and requires type/validation authority,gtins,Product.gtin / ProductVariant.gtin,externally_assigned_product_identifier,current canonical registry + project domain contract,ProductVariant,core_model_property,KEEP_PLATFORM_CANONICAL,system,SOURCE_FACT_REQUIRED,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
barcode_box,Box Barcode,existing,none,none,none,none,none,current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
mpn,Manufacturer Part Number,existing,mpn,taxonomy/metafield may carry it,mpn,Product.mpn / ProductVariant.mpn,part_number (product-type property; semantic mapping requires PTD context),current canonical registry + project domain contract,FieldDefinition,dynamic_field,KEEP_PLATFORM_CANONICAL,platform_library,SOURCE_FACT_REQUIRED,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
identifier_exists,Identifier Exists Flag,existing,none,none,identifierExists,none,supplier_declared_has_product_identifier_exemption (related inverse channel rule),current canonical registry + project domain contract,ConnectorMapping,connector_only,KEEP_GOVERNANCE_NON_FIELD,not_applicable,NOT_AI_ELIGIBLE,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
price,Price,existing,pricing APIs,pricing domain,price,Product/Variant.price,purchasable_offer,current canonical registry + project domain contract,PriceListItem,pricing_domain,KEEP_DOMAIN_CANONICAL,system,SOURCE_FACT_REQUIRED,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
sale_price,Sale Price,existing,special pricing,pricing domain,salePrice,Product/Variant.sale_price,purchasable_offer schedule/context,current canonical registry + project domain contract,PriceListItem,pricing_domain,KEEP_DOMAIN_CANONICAL,system,SOURCE_FACT_REQUIRED,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
cost_price,Cost Price,existing,"classic EAV cost + Catalog Pricing cost storage; distinct Adobe surfaces, equivalence not assumed until certification",InventoryItem.unitCost / pricing context,costOfGoodsSold,Product/Variant.cost_price,none in public LUGGAGE PTD,current canonical registry + project domain contract,PriceListItem,pricing_domain,KEEP_DOMAIN_CANONICAL,system,SOURCE_FACT_REQUIRED,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
availability,Availability,existing,inventory domain,inventory quantities,availability,inventory_level / availability,fulfillment_channel_availability,current canonical registry + project domain contract,calculated,inventory_domain,KEEP_DOMAIN_CANONICAL,system,SOURCE_FACT_REQUIRED,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
image,Main Image,existing,media gallery,Media/Image,imageLink,primary_image / Variant.image_url,main_product_image_locator,current canonical registry + project domain contract,MediaAsset,media_domain,KEEP_DOMAIN_CANONICAL,system,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
images,Product Images,existing,media gallery,Media/Image,additionalImageLinks / lifestyleImageLinks,images,other_product_image_locator_1..8,current canonical registry + project domain contract,Media_domain,media_domain,KEEP_DOMAIN_CANONICAL,system,CONTEXT_DEPENDENT,Product image collections are semantically owned by the Media domain. Current products.images JSON is legacy/minimal physical persistence only and must not redefine semantic ownership.,GATE2_RECONCILIATION
condition,Condition,existing,account/dynamic unless installed,none generic in Product input,condition,condition,condition_type,current canonical registry + project domain contract,FieldDefinition,dynamic_field,KEEP_PLATFORM_CANONICAL,platform_library,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
unit,Unit of Measure,existing,none,none,none,none,none,current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
min_order_quantity,Minimum Order Quantity,existing,none,none,none,Product.order_quantity_minimum,none,current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve canonical Product-level minimum purchasable quantity. BigCommerce directly exposes Product.order_quantity_minimum; broader max-order/order-step domain governance remains deferred.,LEAD_SYNTHESIS
order_step,Order Step,existing,none,none,none,none,none,current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
package_quantity,Package Quantity,existing,dynamic/account field possible,taxonomy/metafield possible,multipack is narrower identical-product quantity semantics and remains deferred; not generic package_quantity evidence,none top-level,number_of_items — related Amazon branded-container count; not established as generic units per consumer package; mapping partial,current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,"Preserve the existing project-owned package_quantity concept. Google multipack is narrower identical-product quantity semantics, while Amazon number_of_items is a related branded-container count; neither is treated as direct generic package_quantity equivalence.",GATE2_RECONCILIATION
package_type,Package Type,existing,none,none,none,none,none,current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
units_per_box,Units Per Box,existing,none,none,none,none,none,current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
boxes_per_pallet,Boxes Per Pallet,existing,none,none,none,none,none,current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
lead_time_days,Lead Time Days,existing,none,none,none,none,none,current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
net_weight,Net Weight,existing,weight — related Adobe product-weight surface; semantic kind unresolved; NOT established as net_weight; mapping deferred (DEC-009/DEC-010),"InventoryItem.measurement.weight is packaged variant/inventory-item weight; related evidence only, not canonical net_weight or proven gross_weight equivalence",productWeight — related Google product-weight surface; strict net-weight packaging exclusion is not established; mapping partial (DEC-009),"Product/Variant.weight — BigCommerce shipping/store weight; related only, strict net-weight packaging boundary unresolved (DEC-009)",item_weight — related Amazon item measurement; strict DEC-009 no-packaging boundary is not established; mapping partial,current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,"Preserve canonical net_weight; Shopify packaged variant-level weight and Google, BigCommerce, and Amazon item/weight representations remain related only until exact packaging-level and entity-level semantics are proven.",LEAD_SYNTHESIS
gross_weight,Gross Weight,existing,no direct Adobe gross_weight equivalence; Adobe weight semantic/packaging level unresolved (DEC-009),delivery/shipping context,shippingWeight — Google shipping-calculation weight; NOT established as canonical gross_weight packaging level; mapping partial (DEC-009),Product/Variant.weight may be shipping weight depending store semantics,item_package_weight — related Amazon package measurement; strict DEC-009 immediate-consumer-package versus transport-package boundary is not established; mapping partial,current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve canonical gross_weight; channel package/shipping-weight representations remain related only until the exact DEC-009 packaging level is proven.,LEAD_SYNTHESIS
volume_m3,Volume,existing,none,none,none,none,none,current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
depth_mm,Depth,existing,dimensions via attributes/extension,measurement/taxonomy context,productLength,Product.depth; ProductVariant.depth is a nullable override with Product fallback,item_dimensions (structured),current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
width_mm,Width,existing,dimensions via attributes/extension,measurement/taxonomy context,productWidth,Product.width; ProductVariant.width is a nullable override with Product fallback,item_dimensions (structured),current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
height_mm,Height,existing,dimensions via attributes/extension,measurement/taxonomy context,productHeight,Product.height; ProductVariant.height is a nullable override with Product fallback,item_dimensions (structured),current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
meta_title,Meta Title,existing,meta_title,Product.seo.title,none,Product.page_title,none,current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
meta_description,Meta Description,existing,meta_description,Product.seo.description,none,Product.meta_description,none,current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
rozetka_category_id,Rozetka Category ID,existing,none,none,none,none,none,current canonical registry + project domain contract,ConnectorMapping,connector_only,KEEP_GOVERNANCE_NON_FIELD,not_applicable,NOT_AI_ELIGIBLE,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
color,Color,existing,color,taxonomy/category attributes / options,color,variant option/custom field,color,current canonical registry + project domain contract,FieldDefinition,dynamic_field,KEEP_PLATFORM_CANONICAL,platform_library,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
size,Size,existing,size,taxonomy/category attributes / options,size,variant option/custom field,size,current canonical registry + project domain contract,FieldDefinition,dynamic_field,KEEP_PLATFORM_CANONICAL,platform_library,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
material,Material,existing,material,Shopify taxonomy attributes,material,custom field / option,material,current canonical registry + project domain contract,FieldDefinition,dynamic_field,KEEP_PLATFORM_CANONICAL,platform_library,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
age_group,Age Group,existing,dynamic attribute possible,Shopify taxonomy attributes,ageGroup,custom field,age_range_description,current canonical registry + project domain contract,FieldDefinition,dynamic_field,KEEP_PLATFORM_CANONICAL,platform_library,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
gender,Gender,existing,dynamic attribute possible,Shopify taxonomy attributes,gender,custom field,target_gender,current canonical registry + project domain contract,FieldDefinition,dynamic_field,KEEP_PLATFORM_CANONICAL,platform_library,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
country_of_origin,Country of Origin,existing,country_of_manufacture — related manufacturing-country fact; NOT established identity-equivalent to country_of_origin,InventoryItem.countryCodeOfOrigin is manufacturing/origin evidence at variant/inventory-item level; Product-level canonical binding equivalence remains partial,none generic ProductAttributes current surface,custom field,country_of_origin,current canonical registry + project domain contract,FieldDefinition,dynamic_field,KEEP_PLATFORM_CANONICAL,platform_library,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
manufacturer,Manufacturer,existing,manufacturer,Product.vendor is not guaranteed manufacturer,brand only; manufacturer distinct,brand_name is not guaranteed manufacturer,manufacturer,current canonical registry + project domain contract,FieldDefinition,dynamic_field,KEEP_PLATFORM_CANONICAL,platform_library,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
model,Model,existing,dynamic/account field possible,taxonomy/metafield possible,model only vehicle vertical,custom field,model_number / model_name,current canonical registry + project domain contract,FieldDefinition,dynamic_field,KEEP_PLATFORM_CANONICAL,platform_library,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
compatibility,Compatibility,existing,dynamic/account field,Shopify taxonomy has category-specific compatibility attributes,"relatedProducts is relation, not compatibility scalar",custom field,product-type-specific attributes,current canonical registry + project domain contract,FieldDefinition,dynamic_field,KEEP_PLATFORM_CANONICAL,platform_library,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
battery_type,Battery Type,existing,dynamic/account field,Shopify taxonomy category-specific battery attrs,specialized fields only,custom field,battery structured properties,current canonical registry + project domain contract,FieldDefinition,dynamic_field,KEEP_PLATFORM_CANONICAL,platform_library,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
shipping_required,Shipping Required,existing,product type/weight semantics,InventoryItem.requiresShipping,shipping config does not equal boolean semantic,Product.type + shipping config not exact,offer/fulfillment context,current canonical registry + project domain contract,FieldDefinition,dynamic_field,KEEP_PLATFORM_CANONICAL,platform_library,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
backorder_policy,Backorder Policy,existing,stock item backorders,Inventory policy,availability enum does not encode merchant backorder policy,inventory settings,fulfillment context,current canonical registry + project domain contract,FieldDefinition,dynamic_field,KEEP_PLATFORM_CANONICAL,platform_library,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
technical_characteristics,Technical Characteristics,existing,dynamic rich attribute,metafields/taxonomy,productDetails structured list,custom_fields,product_details property group (many discrete fields),current canonical registry + project domain contract,FieldDefinition,dynamic_field,KEEP_PLATFORM_CANONICAL,platform_library,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
instructions,Instructions,existing,instructions,files/metafields,documentLinks may link manuals,custom_fields,compliance_media / product-type attrs,current canonical registry + project domain contract,FieldDefinition,dynamic_field,KEEP_PLATFORM_CANONICAL,platform_library,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
accessory,Accessory Relationship,existing,product links,relations/collections,relatedProducts,related_products,relationships/product-type context,current canonical registry + project domain contract,ProductAssociation,product_association_domain,KEEP_DOMAIN_CANONICAL,not_applicable,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
compatible_with,Compatible With,existing,product links,relations/metafields,relatedProducts,related_products,relationships/product-type context,current canonical registry + project domain contract,ProductAssociation,product_association_domain,KEEP_DOMAIN_CANONICAL,not_applicable,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
cross_sell,Cross-sell Relationship,existing,crosssell links,collections/relations,relatedProducts,related_products,relationships/product-type context,current canonical registry + project domain contract,ProductAssociation,product_association_domain,KEEP_DOMAIN_CANONICAL,not_applicable,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
has_energy_consumption_details,Energy Consumption Details,existing,energy/compliance fields,taxonomy/metafield depending category,energyEfficiencyClass etc.,custom field,compliance fields,current canonical registry + project domain contract,not_implemented,compliance_entity,KEEP_DOMAIN_CANONICAL,platform_library,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
variant_attributes,Variant Attributes JSON,existing,configurable attributes,Product options,variantOptions / itemGroupId,Product options / option_values,variation_theme / parentage_level,current canonical registry + project domain contract,ProductVariant,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
synced_at,Last Sync Timestamp,existing,none,none,none,none,none,current canonical registry + project domain contract,calculated,computed_projection,KEEP_GOVERNANCE_NON_FIELD,system,NOT_AI_ELIGIBLE,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
tags,Tags,missing_or_candidate,none,Product.tags,none,none,none,[Resolved] Product classification model explicitly defines Tags,Product,core_model_property,ADD_PLATFORM_CANONICAL,system,AI_TEXT_DERIVABLE,Project already resolved Tags as a distinct product classification concept; Shopify supplies independent commerce representation. Do not confuse with taxonomy/category.,LEAD_SYNTHESIS
recommended_retail_price,Recommended Retail Price,missing_or_candidate,msrp_price present in Adobe pricing inventory (INITIAL_RESEARCH; exact canonical mapping deferred pending stronger arbitration),pricing/reference context,maximumRetailPrice is region-specific; not used as general proof,Product/Variant.retail_price — manufacturer suggested retail price (MSRP),list_price — independently verified Amazon suggested/list price; purchasable_offer remains separate structured transactional pricing context,[Resolved] ProductVariant recommended_retail_price_cache,ProductVariant,pricing_domain,ADD_DOMAIN_CANONICAL,system,SOURCE_FACT_REQUIRED,"Already-resolved platform reference-price semantic was missing from v7 registry. BigCommerce explicitly defines retail_price as manufacturer suggested retail price and Amazon list_price confirms another independent external representation; neither is the resolved selling price. Adobe MSRP evidence is retained, but no Adobe canonical mapping is asserted until its exact official representation is independently verified to the same bar.",LEAD_SYNTHESIS
pattern,Pattern,missing_or_candidate,dynamic/account attribute,Shopify Standard Product Taxonomy base attribute Pattern,pattern,custom field / option,product-type-specific possible,Google + Shopify independent official vocabularies,FieldDefinition,dynamic_field,ADD_PLATFORM_CANONICAL,platform_library,AI_TEXT_IMAGE_DERIVABLE,Repeated cross-channel product characteristic. Keep canonical value open/text; do not import a vendor controlled vocabulary as universal truth.,LEAD_SYNTHESIS
style,Style,missing_or_candidate,dynamic/account attribute,Shopify Standard Product Taxonomy base attribute Style,none generic,custom field / option,LUGGAGE.style,Shopify taxonomy + Amazon PTD,FieldDefinition,dynamic_field,ADD_PLATFORM_CANONICAL,platform_library,AI_TEXT_IMAGE_DERIVABLE,Independent taxonomy/PTD evidence supports a reusable characteristic; channel-specific option vocabularies remain mappings.,LEAD_SYNTHESIS
warranty,Warranty Description,missing_or_candidate,dynamic/account attribute,metafield possible,vehicle warranty only (vertical evidence),Product.warranty,LUGGAGE.warranty_description,BigCommerce + Amazon official schemas,FieldDefinition,dynamic_field,ADD_PLATFORM_CANONICAL,platform_library,AI_TEXT_DERIVABLE_WITH_SOURCE,Reusable product information across independent commerce schemas. Must not infer legal warranty terms without source evidence.,LEAD_SYNTHESIS
product_highlights,Product Highlights,missing_or_candidate,rich/dynamic attributes possible,metafield/rich content possible,productHighlights,custom fields possible,LUGGAGE.bullet_point (verified highlights representation); special_feature remains separate unresolved sibling evidence,Google + Amazon official schemas,FieldDefinition,dynamic_field,ADD_PLATFORM_CANONICAL,platform_library,AI_TEXT_DERIVABLE,Reusable concise selling facts. Canonical representation is multi-value localized text; Google/Amazon list representations map cleanly.,LEAD_SYNTHESIS
max_order_quantity,Maximum Order Quantity,missing_or_candidate,none,none,none,Product.order_quantity_maximum,LUGGAGE.max_order_quantity,BigCommerce + Amazon official schemas; no current project Domain Decision,Product_or_B2B_domain,undecided,DEFER_NEW_DOMAIN_DECISION,undecided,SOURCE_FACT_REQUIRED,Strong cross-platform candidate but adding it would introduce a new platform business constraint not currently [Resolved]. Keep as synthesis candidate; do not silently seed or persist it. Binding level also remains unresolved: Product vs ProductVariant/listing-level order constraint must be decided with min_order_quantity/order_step as one family before implementation.,LEAD_SYNTHESIS
shopify_vendor,Shopify vendor,external_only,none,Product.vendor,none,none,none,external platform evidence only,Connector/channel context,connector_context,KEEP_CHANNEL_CANONICAL_ONLY,not_applicable,NOT_PLATFORM_FIELD,Shopify-defined vendor label is not semantically guaranteed to mean canonical brand or manufacturer.,LEAD_SYNTHESIS
google_custom_labels,Google custom labels 0-4,external_only,none,none,customLabel0..4,none,none,external platform evidence only,Connector/channel context,connector_context,KEEP_CHANNEL_CANONICAL_ONLY,not_applicable,NOT_PLATFORM_FIELD,Advertising grouping controls belong to channel/campaign context.,LEAD_SYNTHESIS
google_destinations,Google included/excluded destinations,external_only,none,none,includedDestinations / excludedDestinations,none,none,external platform evidence only,Connector/channel context,connector_context,KEEP_CHANNEL_CANONICAL_ONLY,not_applicable,NOT_PLATFORM_FIELD,"Publication targeting context, not reusable product data.",LEAD_SYNTHESIS
google_property_fields,Google property/rental vertical fields,external_only,none,none,propertyName/propertyType/displayAddress/amenities/... category-attribute subset; Pricing-owned productFee excluded,none,none,external platform evidence only,PropertyVertical,vertical_scoped_category_attribute,KEEP_CHANNEL_CANONICAL_ONLY,not_applicable,NOT_PLATFORM_FIELD,Google property vertical attributes remain provider-scoped category semantics. Pricing-owned productFee is excluded from this aggregate; no generic platform property model is introduced.,GATE2_RECONCILIATION
